Dist_no_2011,Dist_name_2011,No. of P/S,No. of P/S Recvd,Reg. Voters,ABED BWANIKA,BESIGYE KIFEFE KIZZA,BETI OLIVE KAMYA NAMISANGO,BIDANDI SSALI JABERI,MAO NORBERT,OLARA OTUNNU,SAMUEL LUBEGA MUKAAKU WALTER,YOWERI MUSEVENI KAGUTA,Valid Votes,Invalid Votes,Total Votes
70,ABIM,52,52,26251,60,1041,60,47,247,91,63,16098,17707,552,18259
40,ADJUMANI,115,115,58969,342,10041,190,140,292,163,159,20918,32245,2526,34771
111,AGAGO,165,165,80838,532,9912,205,328,2747,4094,260,26632,44710,3553,48263
88,ALEBTONG,147,146,81486,739,18747,504,429,394,4156,621,24171,49761,2641,52402
57,AMOLATAR,103,103,48648,202,13261,116,111,123,1218,192,19350,34573,1171,35744
81,AMUDAT,34,34,21039,51,249,8,22,41,3021,82,6658,10132,230,10362
58,AMURIA,160,160,89103,614,23023,226,314,292,613,403,32954,58439,3190,61629
71,AMURU,109,109,66569,465,3310,398,200,12562,717,365,10470,28487,1273,29760
1,APAC,191,190,114884,575,16048,369,398,416,11660,495,41712,71673,3087,74760
2,ARUA,493,493,294523,1757,61639,733,1254,1402,1484,1107,85005,154381,9207,163588
72,BUDAKA,136,136,76346,271,10850,186,169,176,338,206,36962,49158,2420,51578
78,BUDUDA,141,141,64063,121,7488,96,133,106,80,74,30530,38628,1463,40091
41,BUGIRI,266,266,145455,422,21157,200,285,301,509,262,54011,77147,3935,81082
109,BUHWEJU,88,88,41785,77,2507,78,97,39,28,59,29530,32415,1358,33773
82,BUIKWE,328,328,183097,822,25833,1171,586,1560,345,232,64752,95301,4577,99878
79,BUKEDEA,115,115,66311,328,11949,275,143,158,538,231,28189,41811,2945,44756
98,BUKOMANSIMBI,118,118,63016,254,12322,512,232,1872,21,79,22389,37681,2271,39952
59,BUKWO,89,89,33065,107,1709,22,41,29,10,169,19895,21982,889,22871
89,BULAMBULI,142,140,60436,183,7511,179,70,32,34,37,33788,41834,1294,43128
73,BULIISA,72,72,44028,81,3989,53,57,110,447,87,20741,25565,1577,27142
3,BUNDIBUGYO,187,187,93594,334,5600,140,285,178,114,243,45909,52803,2401,55204
4,BUSHENYI,186,186,105763,142,15718,389,114,165,65,59,51894,68546,1907,70453
42,BUSIA,218,204,142051,774,22594,301,225,393,872,279,52936,78374,2828,81202
60,BUTALEJA,151,151,87655,442,13251,167,410,565,732,281,41178,57026,2417,59443
99,BUTAMBALA,86,86,44527,145,8909,399,474,146,22,84,16880,27059,885,27944
90,BUVUMA,77,77,26037,53,2932,63,80,103,20,19,7367,10637,443,11080
83,BUYENDE,171,171,90728,148,5430,159,127,201,66,123,53761,60015,1937,61952
74,DOKOLO,129,129,61667,565,12857,214,207,195,2086,286,23608,40018,1972,41990
91,GOMBA,140,140,63840,264,7329,374,153,244,26,60,29551,38001,2057,40058
5,GULU,293,293,192669,705,17467,413,439,36225,4179,672,24590,84690,5340,90030
6,HOIMA,301,301,191867,267,14734,223,272,193,223,190,93070,109172,7369,116541
61,IBANDA,213,213,107582,86,7208,78,106,68,65,81,65910,73602,2704,76306
7,IGANGA,310,304,205411,561,29051,320,423,371,257,507,72863,104353,3815,108168
62,ISINGIRO,358,358,174402,209,16547,152,289,195,61,146,104422,122021,3221,125242
8,JINJA,348,348,236506,497,36285,432,394,1053,822,221,74219,113923,3261,117184
63,KAABONG,143,143,52421,648,1927,141,221,329,233,658,26804,30961,2507,33468
9,KABALE,438,437,260013,392,36379,348,312,207,199,199,139676,177712,6944,184656
10,KABAROLE,349,347,208758,384,17236,267,335,217,102,765,104709,124015,6227,130242
54,KABERAMAIDO,115,115,75516,412,26197,190,212,216,978,289,21995,50489,1904,52393
11,KALANGALA,65,65,34815,223,5046,307,85,316,29,57,9824,15887,954,16841
64,KALIRO,132,132,74636,169,4255,89,91,104,82,90,45209,50089,1273,51362
100,KALUNGU,139,139,75671,295,13469,866,317,2037,37,95,28699,45815,1871,47686
12,KAMPALA,1440,1419,1180522,3866,229527,8825,3154,15279,2582,870,225698,489801,12019,501820
13,KAMULI,331,328,170672,488,17889,259,264,314,219,292,81596,101321,3202,104523
46,KAMWENGE,322,322,158120,305,9163,100,229,128,57,168,92018,102168,4605,106773
55,KANUNGU,187,187,110981,239,16065,57,141,55,32,395,57122,74106,2687,76793
14,KAPCHORWA,101,101,45822,116,6343,32,53,55,29,38,24035,30701,1329,32030
15,KASESE,469,469,302532,1450,79341,422,538,532,310,833,94004,177430,9808,187238
43,KATAKWI,139,139,59688,468,9779,167,224,177,237,316,28745,40113,1849,41962
47,KAYUNGA,271,271,153245,403,17164,454,492,473,233,290,59205,78714,3592,82306
