DISTRICT,CONSTITUENCY,SUBCOUNTY,PARISH,STATION_NAME,Females,F_18.24,F_25.30,F_31.34,F_35.39,F_40.44,F_45.49,F_50.54,F_55.59,F_60.64,F_65.up,Males,M_18.24,M_25.30,M_31.34,M_35.39,M_40.44,M_45.49,M_50.54,M_55.59,M_60.64,M_65.up,Original_Station_ID_2016
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KASAALI,KASAALI PRIMARY SCH. GIRLS' FIELD,429,85,76,43,46,35,31,30,39,14,30,121,33,20,7,14,9,6,8,5,5,14,O-100-117-1-13-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KASAALI,KAGO PLAYGROUND,177,43,21,10,21,15,16,9,9,6,27,153,36,26,15,15,13,13,9,8,4,14,O-100-117-1-13-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KASAALI,KASAALI PRIMARY SCH. BOYS' FIELD,332,56,37,29,30,37,31,30,18,14,50,549,138,81,51,59,54,42,32,33,21,38,O-100-117-1-13-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSASA/KALUNGI,DDANDA PRIMARY SCHOOL,202,47,34,17,23,15,14,16,5,4,27,199,49,24,22,16,20,22,15,5,4,22,O-100-117-1-14-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSASA/KALUNGI,LUSASA PLAYGROUND,256,52,43,22,15,35,18,16,10,9,36,229,67,22,23,25,19,17,19,10,7,20,O-100-117-1-14-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSASA/KALUNGI,BUYIKUUZI PRIMARY SCHOOL,258,47,48,16,26,25,22,14,15,13,32,209,62,29,12,22,14,17,12,9,9,23,O-100-117-1-14-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,BUGONZI,NAMWANZI PLAYGROUND,291,60,51,35,26,31,19,21,16,8,24,269,58,50,21,37,20,16,22,21,8,16,O-100-117-1-2-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,BUGONZI,BUZAANA PLAYGROUND,199,41,29,18,20,23,15,18,10,6,19,195,47,31,22,14,20,17,8,12,8,16,O-100-117-1-2-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,BUGONZI,BUGONZI P.7 SCH,424,92,70,31,46,36,24,30,25,14,56,389,85,58,36,47,42,33,27,18,12,31,O-100-117-1-2-4
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,BUGONZI,KABAALE TOWN (N-Z)-FATIH GIRLS PRI. SCH,533,133,109,61,59,51,22,29,19,16,34,162,44,39,14,23,18,8,4,5,3,4,O-100-117-1-2-5
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,BUGONZI,KABAALE TOWN (A-M)-FATIH BOYS PRI. SCH,65,20,16,7,4,6,3,2,4,1,2,384,102,76,42,45,37,29,15,17,5,16,O-100-117-1-2-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,KITI MUSLIM PRIMARY SCHOOL,355,95,61,34,43,34,17,21,13,12,25,299,72,54,30,34,23,27,14,12,7,26,O-100-117-1-3-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,KASSUNGA CATHOLIC CHURCH,297,57,34,28,31,29,28,27,15,8,40,244,63,36,22,24,23,14,9,10,13,30,O-100-117-1-3-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,NAMUSUJJA BOREHOLE,380,76,56,30,44,38,31,29,19,22,35,288,65,45,18,34,25,30,15,12,11,33,O-100-117-1-3-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,LUGALAMA C.O.U,215,44,37,30,22,17,17,10,9,4,25,233,53,36,33,24,18,15,9,14,5,26,O-100-117-1-3-4
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,KAKWANZI PLAYGROUND,344,65,64,27,30,35,32,16,23,12,40,317,70,51,29,36,39,20,22,17,8,25,O-100-117-1-3-5
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KITI,KAYUNGA PRIMARY SCHOOL,175,35,28,18,18,13,10,12,8,11,22,162,32,30,21,19,13,14,9,6,5,13,O-100-117-1-3-6
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KYAMBALA,KYAMBALA P7 SCHOOL,397,97,56,29,42,34,31,23,20,18,47,329,90,60,25,37,24,18,25,20,8,22,O-100-117-1-4-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KYAMBALA,KISAWO PRIMARY SCHOOL,316,51,44,34,30,28,24,18,30,13,44,291,76,46,22,22,28,19,21,9,20,28,O-100-117-1-4-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KYAMBALA,BUBAALE-KUKYAAZI,73,12,10,9,7,5,7,5,6,3,9,65,11,9,5,9,6,5,5,6,5,4,O-100-117-1-4-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,KYAMBALA,BUGWERE PLAYGROUND,69,18,7,3,5,9,7,7,4,1,8,71,12,13,7,3,4,8,7,7,1,9,O-100-117-1-4-4
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSANGO,KISIWUULA LCI,233,41,32,23,28,11,15,22,17,13,31,199,56,30,15,20,20,13,11,12,4,18,O-100-117-1-6-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSANGO,KIWEESA C.O.U,226,46,33,21,28,14,23,14,17,8,22,188,54,24,12,15,15,15,20,13,5,15,O-100-117-1-6-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSANGO,LUSANGO PLAYGROUND,495,117,105,49,59,44,23,30,26,15,27,398,99,75,42,48,38,32,22,13,10,19,O-100-117-1-6-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,LUSANGO,KAMULI CATHOLIC CHURCH,175,31,18,11,16,21,13,16,9,17,23,121,32,20,11,11,9,9,6,3,7,13,O-100-117-1-6-4
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MABUYE,KIWOOMYA PRIMARY SCHOOL,284,66,48,24,31,19,17,11,17,18,33,287,59,59,29,38,24,15,10,13,7,33,O-100-117-1-7-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MABUYE,MABUYE-KITAWULUZI,289,56,48,24,19,33,28,17,24,10,30,289,70,57,20,28,28,17,25,6,11,27,O-100-117-1-7-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MABUYE,KASSEBUTI PRIMARY SCHOOL,263,41,42,28,29,18,18,23,13,11,40,233,46,41,32,23,21,11,14,16,12,17,O-100-117-1-7-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,MUKOKO TOWN CATHOLIC CHURCH,164,36,33,17,20,20,11,13,6,5,3,128,44,27,18,12,7,6,2,5,2,5,O-100-117-1-8-1
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,MUKOKO PRI. SCH,297,92,42,28,26,23,11,27,16,13,19,287,84,60,20,30,27,14,12,9,11,20,O-100-117-1-8-2
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,LUTENGO PLAYGROUND,290,49,34,34,21,34,20,20,17,22,39,268,69,29,25,22,30,25,20,14,8,26,O-100-117-1-8-3
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,KITI - KASAASA PRI. SCH,265,65,27,28,18,27,17,24,24,14,21,219,76,41,15,11,17,19,14,3,8,15,O-100-117-1-8-4
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,BULINGO PRI. SCH,217,47,32,24,23,22,12,20,18,10,9,182,42,40,14,21,13,12,14,13,4,9,O-100-117-1-8-5
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,KALANGALA PRI. SCH,105,22,16,14,7,13,7,5,5,6,10,134,29,21,13,14,12,11,9,6,10,9,O-100-117-1-8-6
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,MASAABA PLAYGROUND (A-M),63,11,12,12,7,6,4,6,2,2,1,187,50,27,18,25,13,8,21,7,4,14,O-100-117-1-8-7
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,BUKULULA CATHOLIC CHURCH,196,62,28,22,16,14,9,15,14,1,15,117,29,15,13,13,9,11,8,6,3,10,O-100-117-1-8-8
 KALUNGU,KALUNGU EAST COUNTY,BUKULULA,MUKOKO,MASAABA PLAYGROUND (N-Z),350,93,56,37,43,30,24,19,13,14,21,116,32,16,13,11,16,8,5,6,4,5,O-100-117-1-8-9
