Dist_no_2016,Dist_name_2016,Const_no_2016,Const_name_2016,Sbty_no_2016,Sbty_name_2016,Par_no_2016,Par_name_2016,Stn_no_2016,Station_string_2016,Reg.Voters,A.Bwanika,A.Mbabazi,B.Venansius,B.B.Biraaro,K.Besigye.K,J.Mabirizi,M.F.K.Waluube,Y.K.Museveni,T.Votes,V.Votes,Inv.Votes,NON_REP,Original_Station_ID_2016
1,APAC,2,KWANIA COUNTY,1,ADUKU,1,ADYEDA,1,ADYEDA CENTRE,277,2,1,1,1,32,0,1,144,186,182,4,0,O-1-2-1-1-1
1,APAC,2,KWANIA COUNTY,1,ADUKU,1,ADYEDA,2,APORWEGI P.7 SCHOOL,702,10,10,12,3,103,6,3,283,454,430,24,0,O-1-2-1-1-2
1,APAC,2,KWANIA COUNTY,1,ADUKU,1,ADYEDA,3,ADYEDA IMALO,321,1,2,0,0,44,1,0,190,242,238,4,0,O-1-2-1-1-3
1,APAC,2,KWANIA COUNTY,1,ADUKU,2,ALIRA,1,ALIRA B,872,6,4,9,1,232,3,1,328,606,584,22,0,O-1-2-1-2-1
1,APAC,2,KWANIA COUNTY,1,ADUKU,2,ALIRA,2,AKOT  A,750,5,6,7,1,258,4,5,218,512,504,8,0,O-1-2-1-2-2
1,APAC,2,KWANIA COUNTY,1,ADUKU,2,ALIRA,3,OLEKE,826,3,8,3,1,235,9,3,279,573,541,32,0,O-1-2-1-2-3
1,APAC,2,KWANIA COUNTY,1,ADUKU,2,ALIRA,4,AKWODONG,506,0,0,1,1,94,1,0,231,383,328,55,0,O-1-2-1-2-4
1,APAC,2,KWANIA COUNTY,1,ADUKU,7,ONGOCENG,1,AKWON,792,5,7,3,1,176,6,2,297,541,497,44,0,O-1-2-1-7-1
1,APAC,2,KWANIA COUNTY,1,ADUKU,7,ONGOCENG,2,ANGINYI,447,3,1,0,1,156,0,1,137,305,299,6,0,O-1-2-1-7-2
1,APAC,2,KWANIA COUNTY,1,ADUKU,7,ONGOCENG,3,ALYELI COMMUNITY CENTRE,488,9,6,1,3,125,2,1,198,370,345,25,0,O-1-2-1-7-3
1,APAC,2,KWANIA COUNTY,1,ADUKU,7,ONGOCENG,4,ABALOKWERI,670,3,6,1,1,184,1,2,250,462,448,14,0,O-1-2-1-7-4
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,1,AORA,529,3,7,7,0,89,0,0,290,417,396,21,0,O-1-2-1-8-1
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,2,AMIA P.7 SCHOOL,836,7,3,5,2,188,4,2,342,553,553,0,0,O-1-2-1-8-2
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,3,ODEO CORNER,786,0,2,5,1,201,2,1,298,544,510,34,0,O-1-2-1-8-3
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,4,ABOKO PRI. SCHOOL,681,2,1,7,1,189,1,2,241,459,444,15,0,O-1-2-1-8-4
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,5,WIGWENG,556,4,3,5,2,94,2,3,258,400,371,29,0,O-1-2-1-8-5
1,APAC,2,KWANIA COUNTY,1,ADUKU,8,ABOKO,6,ALEBE,490,3,2,3,1,130,2,3,199,364,343,21,0,O-1-2-1-8-6
1,APAC,2,KWANIA COUNTY,1,ADUKU,25,APIRE,1,APIRE P.7 SCHOOL A,483,2,8,0,0,106,1,1,205,338,323,15,0,O-1-2-1-25-1
