Dist_no_2011,Dist_name_2011,Const_no,Const_name_2011,Sbty_no,Sbty_name,Par_no,Par_name,Stn_no,Station_string_2011,Reg.Voters,A.Bwanika,K.Besigye.K,B.O.K.Namisango,B.S.Jaberi,M.Norbert,O.Otunnu,S.L.M.Walter,Y.K.Museveni,T.Votes,V.Votes,Inv.Votes,V.Spoilt,NULLIFIED,NON_REP,Original_Station_ID_2011
070,ABIM,095,LABWOR COUNTY,01,ABIM,025,ANINATA,01,ANINATA PRIMARY SCHOOL,416,1,11,0,1,3,2,2,274,307,294,13,1,0,0,O-70-95-1-25-1
070,ABIM,095,LABWOR COUNTY,01,ABIM,022,AREMBWOLA,01,AREMBWOLA P/S,540,2,17,0,2,4,1,1,360,395,387,8,1,0,0,O-70-95-1-22-1
070,ABIM,095,LABWOR COUNTY,01,ABIM,001,ATUNGA,01,ORYEOTENE,361,1,11,1,2,3,2,2,232,257,254,3,0,0,0,O-70-95-1-1-1
070,ABIM,095,LABWOR COUNTY,01,ABIM,001,ATUNGA,02,APELKERE,394,0,10,0,0,7,1,1,277,301,296,5,0,0,0,O-70-95-1-1-2
070,ABIM,095,LABWOR COUNTY,01,ABIM,001,ATUNGA,03,ATUGO,289,0,7,1,1,2,1,1,172,193,185,8,0,0,0,O-70-95-1-1-3
070,ABIM,095,LABWOR COUNTY,01,ABIM,001,ATUNGA,04,OTALABAR,354,0,6,0,2,4,0,2,200,217,214,3,0,0,0,O-70-95-1-1-4
070,ABIM,095,LABWOR COUNTY,01,ABIM,002,KANU,02,KANU HEALTH CENTRE II,628,5,17,2,1,4,0,3,480,524,512,12,1,0,0,O-70-95-1-2-2
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,021,KALAKALA WARD,01,KALAKALA,471,2,35,1,0,8,4,2,288,347,340,7,0,0,0,O-70-95-6-21-1
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,021,KALAKALA WARD,02,AYWEE PRIMARY SCHOOL.,229,1,8,0,0,1,1,0,119,137,130,7,0,0,0,O-70-95-6-21-2
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,003,KIRU WARD,02,KIRU PRIMARY SCHOOL,744,0,24,2,1,22,5,1,434,499,489,10,0,0,0,O-70-95-6-3-2
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,032,OYARO WARD,01,OYARO,925,4,33,3,1,11,6,0,549,632,607,25,0,0,0,O-70-95-6-32-1
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,004,WIAWER WARD,01,ABIM EAST,654,0,30,3,3,6,7,7,352,416,408,8,0,0,0,O-70-95-6-4-1
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,004,WIAWER WARD,02,ABIM HOSPITAL_A,597,0,45,0,1,15,6,0,276,350,343,7,0,0,0,O-70-95-6-4-2
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,004,WIAWER WARD,03,YENGLEMI EAST,813,0,42,0,1,7,2,1,396,462,449,13,0,0,0,O-70-95-6-4-3
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,004,WIAWER WARD,04,ABIM HOSPITAL_B,557,1,34,2,1,12,2,1,248,315,301,14,1,0,0,O-70-95-6-4-4
070,ABIM,095,LABWOR COUNTY,06,ABIM TOWN COUNCIL,004,WIAWER WARD,40,ABIM S.S.S.,651,0,11,1,1,5,5,1,176,203,200,3,0,0,0,O-70-95-6-4-40
070,ABIM,095,LABWOR COUNTY,02,ALEREK,016,KOYA,01,GULOTWORO,523,0,6,1,0,0,1,1,316,337,325,12,0,0,0,O-70-95-2-16-1
070,ABIM,095,LABWOR COUNTY,02,ALEREK,016,KOYA,02,KOYA PRIMARY SCHOOL,583,2,12,0,1,4,3,1,366,399,389,10,3,0,0,O-70-95-2-16-2
070,ABIM,095,LABWOR COUNTY,02,ALEREK,023,KULODWONG,01,TYEN THOO,379,0,10,0,0,5,0,1,247,271,263,8,2,0,0,O-70-95-2-23-1
070,ABIM,095,LABWOR COUNTY,02,ALEREK,005,LOYOROIT,01,OLEM,286,0,7,3,0,5,0,1,154,171,170,1,1,0,0,O-70-95-2-5-1
070,ABIM,095,LABWOR COUNTY,02,ALEREK,005,LOYOROIT,02,LOYOROIT P/S,215,0,6,1,2,3,0,1,126,144,139,5,1,0,0,O-70-95-2-5-2
070,ABIM,095,LABWOR COUNTY,02,ALEREK,005,LOYOROIT,03,TYEN OLAM,381,1,15,2,0,5,1,0,261,292,285,7,0,0,0,O-70-95-2-5-3
070,ABIM,095,LABWOR COUNTY,02,ALEREK,017,OTUMPILI,01,OTUMPILI,361,1,12,3,0,7,0,1,229,258,253,5,1,0,0,O-70-95-2-17-1
070,ABIM,095,LABWOR COUNTY,02,ALEREK,017,OTUMPILI,02,ALEREK PRIMARY SCHOOL,855,0,35,2,2,11,1,0,466,526,517,9,0,0,0,O-70-95-2-17-2
070,ABIM,095,LABWOR COUNTY,02,ALEREK,006,WILELA,01,WILELA PRIMARY SCHOOL,816,3,19,4,2,17,4,0,522,593,571,22,7,0,0,O-70-95-2-6-1
070,ABIM,095,LABWOR COUNTY,03,LOTUKEI,019,ACHANGALI,02,ACHANGALI PRI. SCH.,449,4,19,1,1,9,0,1,247,290,282,8,0,0,0,O-70-95-3-19-2
